"variable","base","catchcurve"
"F1_JPLL_A13_Q1_wt",1.686,0
"F2_JPLL_A13_Q2_wt",0,0.808
"F3_JPLL_A13_Q3_wt",0.179,0
"F4_JPLL_A13_Q4_wt",0.825,0
"F9_JPLL_A2_Q1_wt",2.423,0
"F10_JPLL_A2_Q2_wt_9624",0.457,0
"F11_JPLL_A2_Q3_wt",0.303,0
"F12_JPLL_A2_Q4_wt",0.554,0
"F17_JPLL_A4_num",0,1.357
"F18_JPLL_A5_num",0,0.105
"F19_JPPL_A35_Q1",0.015,0
"F20_JPPL_A35_Q2",0.152,0
"F21_JPPL_A35_Q3",0.496,0
"F22_JPPL_A35_Q4",0.179,0
"F23_JPPL_A24",0.066,0
"F24_USLL_A35",0,0.097
"F25_USLL_A24",0,2.029
"F26_TWLL_A35",0,1.515
"F29_CNLL_A35",0.003,0
"F34_EPOSF_xx24",0.626,0
