"variable","base2023","base2026"
"F1_JPLL_A13_Q1_wt",NA,0
"F2_JPLL_A13_Q2_wt",NA,0
"F3_JPLL_A13_Q3_wt",NA,0
"F4_JPLL_A13_Q4_wt",NA,0
"F9_JPLL_A2_Q1_wt",NA,0
"F10_JPLL_A2_Q2_wt_9624",NA,0
"F11_JPLL_A2_Q3_wt",NA,0
"F12_JPLL_A2_Q4_wt",NA,0
"F17_JPLL_A4_num",NA,0
"F18_JPLL_A5_num",NA,0
"F19_JPPL_A35_Q1",NA,0
"F20_JPPL_A35_Q2",NA,0
"F21_JPPL_A35_Q3",NA,0
"F22_JPPL_A35_Q4",NA,0
"F23_JPPL_A24",NA,0
"F24_USLL_A35",NA,0
"F25_USLL_A24",NA,0
"F26_TWLL_A35",NA,0
"F29_CNLL_A35",NA,0
"F34_EPOSF_xx24",NA,0
"F1_JPLL_A13_Q1_J_wt_9621",0,NA
"F2_JPLL_A13_Q1_A_wt",0,NA
"F3_JPLL_A13_Q2_wt",0,NA
"F4_JPLL_A13_Q3_wt",0,NA
"F5_JPLL_A13_Q4_wt",0,NA
"F11_JPLL_A2_Q1_wt_9621",0,NA
"F12_JPLL_A2_Q2_wt_9621",0,NA
"F13_JPLL_A2_Q3_wt",0,NA
"F14_JPLL_A2_Q4_wt",0,NA
"F19_JPLL_A4_num",0,NA
"F20_JPLL_A5_num",0,NA
"F21_JPPL_A35_Q1",0,NA
"F22_JPPL_A35_Q2_9421",0,NA
"F23_JPPL_A35_Q3",0,NA
"F24_JPPL_A35_Q4",0,NA
"F25_JPPL_A24",0,NA
"F26_USLL_A35",0,NA
"F27_USLL_A24",0,NA
"F28_TWLL_A35",0,NA
"F34_EPOSF_9921",0,NA
