"variable","base2026","estM","M=0.3","M=consM_consF"
"F1_JPLL_A13_Q1_wt",0.363,0.043,1.124,0
"F2_JPLL_A13_Q2_wt",2.109,0,0.749,1.866
"F3_JPLL_A13_Q3_wt",0.361,0,0.695,0.317
"F4_JPLL_A13_Q4_wt",2.336,0,3.401,1.767
"F9_JPLL_A2_Q1_wt",0.759,1.417,0,0.475
"F10_JPLL_A2_Q2_wt_9624",0.239,0,0.578,0.053
"F11_JPLL_A2_Q3_wt",0.634,0.743,0,0.364
"F12_JPLL_A2_Q4_wt",0.28,0.452,0.191,0
"F17_JPLL_A4_num",0.521,0,1.019,0.474
"F18_JPLL_A5_num",0.032,0,0.092,0.026
"F19_JPPL_A35_Q1",1.303,0,1.549,1.323
"F20_JPPL_A35_Q2",3.625,0,5.786,3.683
"F21_JPPL_A35_Q3",4.441,0,7.283,4.561
"F22_JPPL_A35_Q4",0,2.776,0.282,0.209
"F23_JPPL_A24",0.048,0,0.09,0.079
"F24_USLL_A35",0,0.062,0,0
"F25_USLL_A24",0.543,0,0.963,0.587
"F26_TWLL_A35",3.552,0,8.07,3.68
"F29_CNLL_A35",0.016,0,0.025,0.017
"F34_EPOSF_xx24",7.424,0,9.833,7.285
