"Fleet","Fleet_Name","base2026","h est (no conv)","h=0.75","h=0.80","h=0.85"
1,"F1_JPLL_A13_Q1_wt",165.829,166.739,165.935,165.895,187.024
2,"F2_JPLL_A13_Q2_wt",59.73,61.221,59.735,59.733,75.796
3,"F3_JPLL_A13_Q3_wt",23.979,24.841,23.957,23.965,25.255
4,"F4_JPLL_A13_Q4_wt",111.985,121.299,111.994,111.987,131.073
9,"F9_JPLL_A2_Q1_wt",146.819,142.335,146.564,146.653,124.891
10,"F10_JPLL_A2_Q2_wt_9624",158.783,157.236,158.848,158.825,169.195
11,"F11_JPLL_A2_Q3_wt",181.381,180.473,181.321,181.354,165.326
12,"F12_JPLL_A2_Q4_wt",116.107,113.613,116.113,116.116,124.38
17,"F17_JPLL_A4_num",75.168,76.647,75.164,75.166,82.105
18,"F18_JPLL_A5_num",45.938,46.418,45.9,45.913,46.594
19,"F19_JPPL_A35_Q1",19.028,20.891,19.037,19.033,19.404
20,"F20_JPPL_A35_Q2",34.182,39.733,34.158,34.165,30.287
21,"F21_JPPL_A35_Q3",18.029,18.247,18.013,18.018,15.182
22,"F22_JPPL_A35_Q4",10.423,8.55,10.413,10.417,10.442
23,"F23_JPPL_A24",13.388,13.917,13.386,13.387,15.582
24,"F24_USLL_A35",36.581,37.592,36.582,36.582,37.277
25,"F25_USLL_A24",63.198,64.965,63.233,63.219,65.726
26,"F26_TWLL_A35",63.064,69.292,62.988,63.021,75.416
29,"F29_CNLL_A35",122.014,168.882,120.931,121.187,140.366
30,"F30_CNLL_A24",16.92,15.895,16.927,16.924,15.835
31,"F31_VULL_mt",33.296,28.005,33.335,33.317,30.912
34,"F34_EPOSF_xx24",70.062,72.154,70.064,70.064,71.546
35,"F35_JPTWKR_DNMisc",16.874,12.143,16.875,16.875,13.717
36,"S36_JPLL_idx_adult",17.14,15.613,17.143,17.141,5.72
