"Fleet","Fleet_Name","base2026","h=0.75","h=0.80","h=0.85"
1,"F1_JPLL_A13_Q1_wt",165.829,165.83,165.83,165.83
2,"F2_JPLL_A13_Q2_wt",59.73,59.73,59.73,59.73
3,"F3_JPLL_A13_Q3_wt",23.979,23.979,23.979,23.979
4,"F4_JPLL_A13_Q4_wt",111.985,111.985,111.985,111.985
9,"F9_JPLL_A2_Q1_wt",146.819,146.819,146.819,146.819
10,"F10_JPLL_A2_Q2_wt_9624",158.783,158.782,158.782,158.782
11,"F11_JPLL_A2_Q3_wt",181.381,181.381,181.381,181.381
12,"F12_JPLL_A2_Q4_wt",116.107,116.107,116.107,116.107
17,"F17_JPLL_A4_num",75.168,75.168,75.168,75.168
18,"F18_JPLL_A5_num",45.938,45.938,45.938,45.938
19,"F19_JPPL_A35_Q1",19.028,19.029,19.029,19.029
20,"F20_JPPL_A35_Q2",34.182,34.182,34.182,34.182
21,"F21_JPPL_A35_Q3",18.029,18.029,18.029,18.029
22,"F22_JPPL_A35_Q4",10.423,10.423,10.423,10.423
23,"F23_JPPL_A24",13.388,13.388,13.388,13.388
24,"F24_USLL_A35",36.581,36.581,36.581,36.581
25,"F25_USLL_A24",63.198,63.198,63.198,63.198
26,"F26_TWLL_A35",63.064,63.063,63.063,63.063
29,"F29_CNLL_A35",122.014,122.015,122.015,122.015
30,"F30_CNLL_A24",16.92,16.92,16.92,16.92
31,"F31_VULL_mt",33.296,33.296,33.296,33.296
34,"F34_EPOSF_xx24",70.062,70.062,70.062,70.062
35,"F35_JPTWKR_DNMisc",16.874,16.874,16.874,16.874
36,"S36_JPLL_idx_adult",17.14,17.14,17.14,17.14
