"Fleet","Fleet_Name","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
1,"F1_JPLL_A13_Q1_wt",74.505,165.829,66.122,101.524,234.04
2,"F2_JPLL_A13_Q2_wt",63.39,59.73,61.309,63.209,57.434
3,"F3_JPLL_A13_Q3_wt",23.684,23.979,23.935,23.954,23.921
4,"F4_JPLL_A13_Q4_wt",112.385,111.985,117.216,113.197,111.632
9,"F9_JPLL_A2_Q1_wt",143.278,146.819,141.678,145.243,147.431
10,"F10_JPLL_A2_Q2_wt_9624",162.331,158.783,159.314,159.568,159.256
11,"F11_JPLL_A2_Q3_wt",172.502,181.381,168.343,176.507,183.456
12,"F12_JPLL_A2_Q4_wt",114.763,116.107,116.373,114.864,117.147
17,"F17_JPLL_A4_num",71.518,75.168,72.52,73.137,76.332
18,"F18_JPLL_A5_num",47.623,45.938,48.444,47.054,45.28
19,"F19_JPPL_A35_Q1",18.863,19.028,23.108,18.888,19.33
20,"F20_JPPL_A35_Q2",26.129,34.182,19.62,27.843,42.278
21,"F21_JPPL_A35_Q3",13.907,18.029,13.887,16.02,19.772
22,"F22_JPPL_A35_Q4",10.186,10.423,6.791,10.407,10.331
23,"F23_JPPL_A24",13.067,13.388,13.221,13.13,13.586
24,"F24_USLL_A35",36.118,36.581,36.872,36.172,36.857
25,"F25_USLL_A24",61.789,63.198,63.567,62.751,63.537
26,"F26_TWLL_A35",61.281,63.064,61.48,61.881,63.293
29,"F29_CNLL_A35",68.432,122.014,66.298,92.443,139.446
30,"F30_CNLL_A24",16.688,16.92,15.81,16.469,17.276
31,"F31_VULL_mt",31.88,33.296,34.719,32.929,32.87
34,"F34_EPOSF_xx24",59.907,70.062,62.873,65.907,74.447
35,"F35_JPTWKR_DNMisc",16.924,16.874,20.11,17.111,16.809
36,"S36_JPLL_idx_adult",6.601,17.14,17.216,17.129,17.134
