"Fleet","Fleet_Name","base2026","F10 and S34","F10 and S37","S36 only"
1,"F1_JPLL_A13_Q1_wt",165.829,164.67,167.293,165.345
2,"F2_JPLL_A13_Q2_wt",59.73,56.084,59.905,59.571
3,"F3_JPLL_A13_Q3_wt",23.979,23.517,23.601,24.073
4,"F4_JPLL_A13_Q4_wt",111.985,111.933,115.299,112.571
9,"F9_JPLL_A2_Q1_wt",146.819,147.957,139.594,154.078
10,"F10_JPLL_A2_Q2_wt_9624",158.783,162.354,160.367,165.275
11,"F11_JPLL_A2_Q3_wt",181.381,178.351,170.87,183.291
12,"F12_JPLL_A2_Q4_wt",116.107,113.426,116.601,115.501
17,"F17_JPLL_A4_num",75.168,74.444,74.254,73.325
18,"F18_JPLL_A5_num",45.938,46.06,45.856,45.049
19,"F19_JPPL_A35_Q1",19.028,19.19,18.949,18.744
20,"F20_JPPL_A35_Q2",34.182,34.174,33.416,33.702
21,"F21_JPPL_A35_Q3",18.029,18.036,17.966,17.981
22,"F22_JPPL_A35_Q4",10.423,10.335,10.542,10.524
23,"F23_JPPL_A24",13.388,13.379,13.193,13.486
24,"F24_USLL_A35",36.581,37.366,36.39,36.407
25,"F25_USLL_A24",63.198,63.276,62.481,61.105
26,"F26_TWLL_A35",63.064,63.903,63.208,63.053
29,"F29_CNLL_A35",122.014,91.171,91.187,123.466
30,"F30_CNLL_A24",16.92,17.268,17.01,15.961
31,"F31_VULL_mt",33.296,33.834,33.435,31.376
34,"F34_EPOSF_xx24",70.062,68.23,69.316,69.794
35,"F35_JPTWKR_DNMisc",16.874,16.718,16.949,16.951
36,"S36_JPLL_idx_adult",17.14,17.172,17.018,17.034
