"variable","base","JPLLA35_USLLA24","JPPLA35_JPLLA13","JPPLA35_TWLLA35","TWLLA35_EPOSF"
"F1_JPLL_A13_Q1_wt",0.237,0.343,0.327,0,0.346
"F2_JPLL_A13_Q2_wt",0.344,0.376,0.493,0,0.575
"F3_JPLL_A13_Q3_wt",0.027,0.013,0.008,0.109,0
"F4_JPLL_A13_Q4_wt",0.158,0.177,0.244,0,0.268
"F9_JPLL_A2_Q1_wt",0,0.006,0.132,0.796,0.423
"F10_JPLL_A2_Q2_wt_9624",0.092,0.098,0.123,0,0.14
"F11_JPLL_A2_Q3_wt",0.229,0.258,0.325,0,0.354
"F12_JPLL_A2_Q4_wt",0.308,0.371,0.453,0,0.523
"F17_JPLL_A4_num",0.035,0.023,0.01,0.077,0
"F18_JPLL_A5_num",0.015,0.019,0.005,0.033,0
"F19_JPPL_A35_Q1",0,0.031,0.188,0.029,0.007
"F20_JPPL_A35_Q2",0.12,0.068,0.028,0.353,0
"F21_JPPL_A35_Q3",0.235,0.143,0.317,0.58,0
"F22_JPPL_A35_Q4",0.025,0,0.051,0.14,0.04
"F23_JPPL_A24",0.033,0.011,0.007,0.107,0
"F24_USLL_A35",0.067,0.032,0.018,0.199,0
"F25_USLL_A24",0.173,0.156,0.04,0.528,0
"F26_TWLL_A35",0,0.094,0.051,0.185,0.169
"F29_CNLL_A35",0.001,0,0,0.001,0
"F34_EPOSF_xx24",0.213,0.002,0.052,0.438,0
